user_id,experiment_group,experiment_start_month
7083-MIOPC,control,5
1984-GPTEH,control,1
1251-KRREG,control,8
0621-JFHOL,control,10
9903-LYSAB,control,10
0094-OIFMO,control,12
9227-UAQFT,control,3
7301-ABVAD,control,2
6614-FHDBO,control,9
7576-ASEJU,control,10
9058-HRZSV,control,8
4522-AKYLR,control,3
0221-WMXNQ,discount,5
0303-UNCIP,control,9
9947-OTFQU,discount,9
0322-YINQP,discount,12
0959-WHOKV,discount,4
4075-JFPGR,control,1
4629-NRXKX,control,1
9514-JDSKI,discount,11
3282-ZISZV,discount,2
3675-YDUPJ,control,9
4111-BNXIF,control,7
7017-VFHAY,control,4
6655-LHBYW,control,11
4959-JOSRX,control,5
5046-NUHWD,discount,9
7273-TEFQD,discount,7
3606-TWKGI,control,2
7529-ZDFXI,discount,2
7605-BDWDC,discount,2
1950-KSVVJ,control,2
0123-CRBRT,discount,6
6292-TOSSS,control,2
3197-ARFOY,discount,1
6323-AYBRX,control,1
7014-ZZXAW,control,8
4385-GZQXV,discount,12
7633-MVPUY,discount,8
6366-ZGQGL,control,1
4716-HHKQH,control,7
5940-AHUHD,discount,8
6432-TWQLB,control,2
4484-GLZOU,discount,9
3179-GBRWV,control,5
8645-KWHJO,discount,12
4130-MZLCC,control,11
0314-TKOSI,control,12
8229-MYEJZ,discount,6
2080-SRCDE,discount,10
9577-WJVCQ,discount,1
9512-UIBFX,control,7
6202-DYYFX,control,8
3808-HFKDE,discount,5
5583-SXDAG,discount,3
3488-PGMQJ,discount,10
3580-REOAC,control,6
7534-BFESC,control,9
3727-OWVYD,discount,4
2294-SALNE,control,3
4847-TAJYI,control,12
1563-IWQEX,discount,7
8203-XJZRC,control,10
6556-DBKZF,discount,9
6851-WEFYX,discount,4
2985-JUUBZ,control,8
6390-DSAZX,discount,7
0895-LMRSF,discount,1
8098-LLAZX,discount,1
8266-VBFQL,control,7
8181-YHCMF,control,6
2240-HSJQD,control,12
1248-DYXUB,discount,4
0265-EDXBD,discount,9
4115-BNPJY,discount,10
3167-SNQPL,control,10
4091-TVOCN,control,11
1098-TDVUQ,discount,11
7277-OZCGZ,control,3
1557-EMYVT,control,8
2799-ARNLO,control,9
7563-BIUPC,discount,5
5027-YOCXN,discount,9
3973-SKMLN,control,8
2321-OMBXY,discount,4
2840-XANRC,control,9
6745-JEFZB,control,2
5020-ZSTTY,control,6
9880-TDQAC,control,8
8705-WZCYL,control,2
7102-JJVTX,control,11
8626-PTQGE,control,5
4983-CLMLV,control,12
5701-YVSVF,control,6
5804-LEPIM,discount,5
5697-GOMBF,discount,11
2739-CACDQ,control,4
9385-EHGDO,discount,1
9498-FIMXL,discount,6
2379-GYFLQ,discount,9
0122-OAHPZ,control,5
2868-SNELZ,control,2
4322-RCYMT,control,8
6680-NENYN,discount,7
2088-IEBAU,control,1
7982-VCELR,discount,2
1343-EHPYB,control,11
6035-BXTTY,control,8
6885-PKOAM,control,4
7520-HQWJU,control,12
9639-BUJXT,control,3
5924-SNGKP,discount,8
0021-IKXGC,control,12
2034-GDRCN,discount,3
8966-SNIZF,discount,2
6243-OZGFH,discount,12
4654-DLAMQ,discount,11
0513-RBGPE,discount,3
5160-UXJED,control,6
4115-NZRKS,discount,7
0219-YTZUE,discount,1
0623-IIHUG,discount,7
4572-DVCGN,discount,4
3351-NGXYI,control,9
8984-EYLLL,discount,5
9057-MSWCO,control,11
9833-TGFHX,control,8
9294-TDIPC,control,9
5229-DTFYB,control,9
0104-PPXDV,discount,7
5176-LMJXE,discount,12
3583-KRKMD,discount,10
1010-DIAUQ,discount,6
9069-LGEUL,control,2
7302-ZHMHP,control,10
9571-EDEBV,discount,6
3520-FJGCV,control,3
6563-VRERX,discount,1
0259-GBZSH,discount,4
6122-EFVKN,control,9
2805-EDJPQ,discount,5
6862-CQUMB,control,9
7156-MXBJE,discount,5
6158-HDPXZ,discount,3
9601-BRXPO,discount,8
2863-IMQDR,discount,11
5686-CMAWK,control,1
5651-CRHKQ,discount,10
6905-NIQIN,discount,2
8204-YJCLA,control,2
5167-ZFFMM,control,5
6583-SZVGP,discount,1
4895-TMWIR,discount,4
0533-BNWKF,control,10
1708-PBBOA,control,1
8782-LKFPK,control,9
5522-JBWMO,discount,7
3597-MVHJT,discount,8
9774-NRNAU,control,4
0224-RLWWD,control,7
9967-ATRFS,control,4
3951-NJCVI,discount,8
2977-CEBSX,control,1
0177-PXBAT,control,11
6599-CEBNN,control,10
2519-ERQOJ,discount,7
5876-QMYLD,control,7
2277-AXSDC,discount,9
9442-JTWDL,control,12
0979-PHULV,discount,9
3067-SVMTC,control,3
5495-GPSRW,control,9
7606-BPHHN,control,10
4742-DRORA,control,12
0111-KLBQG,control,9
4800-VHZKI,control,4
7989-CHGTL,control,9
0334-GDDSO,discount,8
4163-NCJAK,control,3
5233-AOZUF,control,8
5973-EJGDP,control,6
1996-DBMUS,control,10
7916-VCCPB,control,11
4686-GEFRM,control,8
5249-QYHEX,discount,3
0578-SKVMF,control,11
5564-NEMQO,discount,9
2233-FAGXV,control,5
5605-IYGFG,discount,10
7663-ZTEGJ,control,4
3935-TBRZZ,discount,10
8111-BKVDS,discount,2
2055-SIFSS,discount,3
2806-MLNTI,discount,8
8734-DKSTZ,discount,5
4360-PNRQB,control,12
6152-ONASV,control,3
9063-ZGTUY,discount,1
7781-HVGMK,discount,12
2181-UAESM,discount,3
2957-LOLHO,control,2
6048-NJXHX,discount,2
2320-SLKMB,control,6
4980-URKXC,control,7
4376-KFVRS,discount,6
5886-VLQVU,control,10
3577-AMVUX,control,6
0771-WLCLA,discount,8
5628-RKIFK,control,6
0206-TBWLC,discount,12
2937-FTHUR,discount,11
1910-FMXJM,control,12
7752-XUSCI,discount,2
4110-PFEUZ,discount,4
0732-OCQOC,control,4
5168-MSWXT,control,6
1090-ESELR,control,3
8592-PLTMQ,control,3
5760-WRAHC,discount,5
8847-GEOOQ,control,8
0256-LTHVJ,discount,7
4785-FCIFB,discount,5
8313-NDOIA,discount,4
5149-CUZUJ,discount,8
0942-KOWSM,discount,2
4237-CLSMM,discount,12
1452-VOQCH,control,8
4719-UMSIY,control,2
6614-VBEGU,control,4
0880-TKATG,discount,4
3811-VBYBZ,discount,5
1480-BKXGA,discount,7
2996-XAUVF,control,3
9076-AXYIK,discount,5
5968-XQIVE,control,5
8896-RAZCR,discount,12
4640-UHDOS,control,3
4933-IKULF,discount,6
3583-EKAPL,control,7
1304-BCCFO,control,12
4104-PVRPS,discount,7
9399-APLBT,control,5
2359-KMGLI,discount,2
3780-DDGSE,discount,11
4431-EDMIQ,discount,8
0306-JAELE,discount,3
6227-HWPWX,discount,2
0486-LGCCH,control,4
0447-BEMNG,control,9
4612-SSVHJ,discount,10
5168-MQQCA,discount,10
5949-XIKAE,control,7
7971-HLVXI,control,4
9094-AZPHK,discount,6
3649-JPUGY,discount,10
4472-LVYGI,discount,5
8372-JUXUI,discount,2
3552-CTCYF,control,8
6778-YSNIH,discount,5
0388-EOPEX,discount,12
5756-OZRIO,control,8
6579-JPICP,discount,11
8205-OTCHB,control,7
4134-BSXLX,discount,9
0505-SPOOW,control,12
6235-VDHOM,discount,12
7783-YKGDV,control,2
4374-YMUSQ,discount,10
4513-CXYIX,discount,2
3957-HHLMR,control,7
7803-XOCCZ,discount,6
5736-YEJAX,discount,1
5609-CEBID,discount,1
8981-FJGLA,control,9
7218-HKQFK,discount,7
4636-QRJKY,control,11
1135-LMECX,discount,2
4332-MUOEZ,discount,4
8535-SFUTN,discount,10
5956-VKDTT,discount,10
8677-HDZEE,control,1
2475-MROZF,discount,8
9412-GHEEC,control,1
3482-ABPKK,control,10
6705-LXORM,control,2
0257-ZESQC,discount,8
7531-GQHME,control,7
5174-ITUMV,discount,11
4109-CYRBD,discount,12
0913-XWSCN,discount,9
6825-UYPFK,control,10
8397-MVTAZ,discount,8
0750-EBAIU,discount,2
8606-CIQUL,discount,1
3571-DPYUH,control,6
7601-GNDYK,discount,10
0356-OBMAC,discount,7
8067-NIOYM,discount,1
1403-GYAFU,control,9
4234-XTNEA,control,8
1297-VQDRP,control,12
9282-IZGQK,discount,6
5348-CAGXB,discount,3
0621-HJWXJ,discount,10
5844-QVTAT,discount,1
8905-IAZPF,control,6
5394-MEITZ,discount,4
6859-QNXIQ,control,4
2782-LFZVW,control,9
2866-IKBTM,discount,7
1342-JPNKI,discount,11
2817-NTQDO,discount,9
7129-AZJDE,discount,12
6986-IJDHX,discount,1
2560-PPCHE,control,4
4676-MQUEA,control,6
8138-EALND,discount,4
3580-HYCSP,discount,10
1352-HNSAW,discount,3
2075-PUEPR,control,4
1982-FEBTD,discount,6
5301-GAUUY,discount,3
5791-KAJFD,discount,9
2654-VBVPB,control,1
1154-HYWWO,discount,7
2501-XWWTZ,control,2
3716-UVSPD,discount,4
6815-ABQFQ,control,2
7343-EOBEU,discount,6
3701-SFMUH,discount,1
6103-LIANB,discount,10
7319-VENRZ,control,8
5846-NEQVZ,discount,7
6967-QIQRV,control,3
5781-RFZRP,control,12
0939-YAPAF,discount,2
0308-IVGOK,discount,4
7293-LSCDV,control,9
7025-WCBNE,discount,4
5756-JYOJT,discount,1
4710-FDUIZ,control,7
6030-REHUX,control,8
9548-LIGTA,discount,9
5150-LJNSR,discount,2
8270-RKSAP,control,12
6522-YRBXD,discount,7
2640-LYMOV,discount,11
1218-VKFPE,discount,12
3627-FHKBK,control,8
2865-TCHJW,discount,4
1423-BMPBQ,discount,11
2393-DIVAI,control,1
5192-EBGOV,control,4
4568-KNYWR,control,6
8752-IMQOS,control,9
0742-LAFQK,control,9
0795-LAFGP,discount,9
0619-OLYUR,control,9
5512-IDZEI,discount,8
0459-SPZHJ,control,3
0215-BQKGS,discount,10
9244-ZVAPM,discount,11
0719-SYFRB,control,9
8208-EUMTE,discount,3
5172-MIGPM,discount,4
1710-RCXUS,control,11
0374-FIUCA,discount,7
5839-SUYVZ,control,12
5173-ZXXXL,control,4
1096-ADRUX,discount,3
2001-MCUUW,control,1
2731-GJRDG,control,2
4723-BEGSG,control,4
6516-NKQBO,discount,10
8672-OAUPW,discount,5
8207-DMRVL,control,9
3419-SNJJD,control,4
6543-CPZMK,control,3
4765-OXPPD,discount,2
2804-ETQDK,control,4
6689-VRRTK,control,3
7138-GIRSH,control,4
9396-ZSFLL,discount,2
6464-KEXXH,discount,6
7134-MJPDY,discount,10
5240-CAOYT,control,12
4059-IIEBK,control,4
4881-JVQOD,discount,7
0516-UXRMT,control,4
4851-BQDNX,control,9
5148-HKFIR,control,11
1009-IRMNA,control,6
3003-CMDUU,discount,1
5016-IBERQ,control,3
6797-UCJHZ,control,1
2469-DTSGX,control,7
4554-YGZIH,discount,7
5099-BAILX,discount,8
9931-KGHOA,discount,4
1775-KWJKQ,discount,1
7665-VIGUD,control,6
9411-TPQQV,control,6
7207-RMRDB,discount,4
7954-MLBUN,control,8
2077-DDHJK,discount,3
4913-EHYUI,control,8
0195-IESCP,discount,1
9574-BOSMD,discount,9
4580-TMHJU,discount,4
0970-ETWGE,discount,7
4908-XAXAY,control,2
8404-VLQFB,discount,1
1626-ERCMM,control,7
0887-HJGAR,control,10
2391-IPLOP,discount,4
5644-PDMZC,discount,3
3509-GWQGF,discount,11
9576-ANLXO,control,8
2024-BASKD,control,10
5845-BZZIB,discount,2
1140-UKVZG,discount,9
4160-AMJTL,control,11
5183-SNMJQ,control,11
8100-PNJMH,discount,6
7838-LAZFO,control,10
4464-JCOLN,discount,10
2085-JVGAD,control,8
5650-VDUDS,control,7
8095-WANWK,discount,3
3030-ZKIWL,control,3
9565-FLVCG,control,2
8755-OGKNA,discount,2
2800-VEQXM,discount,7
7538-GWHML,control,12
5533-RJFTJ,discount,2
3859-CVCET,control,12
0214-JHPFW,control,6
5642-MHDQT,control,2
3088-FVYWK,control,1
3276-HDUEG,control,9
9092-GDZKO,control,4
0823-HSCDJ,discount,1
3729-OWRVL,discount,5
2324-AALNO,control,3
0822-GAVAP,control,9
5760-IFJOZ,discount,1
2826-UWHIS,discount,8
1448-PWKYE,discount,2
7501-IWUNG,discount,4
4957-TREIR,control,1
7251-LJBQN,control,12
8040-MNRTF,discount,2
1536-HBSWP,discount,2
5313-FPXWG,control,5
0067-DKWBL,control,3
0946-FKYTX,control,4
5076-YVXCM,discount,8
8262-COGGB,control,9
6663-JOCQO,control,11
9620-QJREV,control,10
2276-YDAVZ,control,3
2682-KEVRP,control,12
2480-JZOSN,control,6
0078-XZMHT,control,7
5896-NPFWW,control,3
9978-HYCIN,discount,1
8338-QIUNR,discount,10
1525-LNLOJ,control,5
9450-TRJUU,control,6
1766-GKNMI,control,8
6942-LBFDP,control,6
1456-TWCGB,discount,2
7133-VBDCG,control,2
7596-ZYWBB,control,4
8329-UTMVM,discount,1
3014-WJKSM,control,4
3347-YJZZE,control,4
1029-QFBEN,control,6
7929-DMBCV,discount,9
9661-JALZV,discount,3
5433-KYGHE,control,5
4312-KFRXN,discount,4
5575-TPIZQ,control,10
0114-IGABW,control,10
9944-AEXBM,control,3
1853-ARAAQ,control,10
6952-OMNWB,discount,10
4697-LUPSU,discount,9
8434-VGEQQ,discount,9
4952-YSOGZ,discount,5
1589-AGTLK,discount,9
5244-IRFIH,control,12
6549-YMFAW,control,5
4950-HKQTE,control,7
6786-OBWQR,discount,12
2684-EIWEO,control,12
2753-JMMCV,discount,9
6439-GTPCA,discount,1
6621-YOBKI,control,1
1216-JWVUX,control,2
7564-GHCVB,control,6
1173-NOEYG,control,12
7595-EHCDL,control,2
6647-ZEDXT,discount,2
2521-NPUZR,discount,3
1307-TVUFB,discount,9
7503-MIOGA,control,7
4381-MHQDC,discount,4
6923-JHPMP,discount,9
5138-WVKYJ,discount,4
4018-PPNDW,discount,4
1635-FJFCC,discount,10
2499-AJYUA,control,2
6919-ELBGL,discount,1
3966-HRMZA,discount,4
6425-JWTDV,control,7
8405-IGQFX,control,6
8224-IVVPA,discount,1
9477-LGWQI,control,2
1410-RSCMR,discount,12
3115-CZMZD,control,4
0139-IVFJG,discount,11
6683-VLCTZ,control,7
5730-DBDSI,discount,5
0030-FNXPP,discount,7
2189-WWOEW,control,9
5684-FJVYR,control,8
4013-GUXND,discount,11
1894-IGFSG,control,3
7379-POKDZ,control,11
1266-NZYUI,discount,1
7969-FFOWG,discount,7
4718-DHSMV,discount,3
5175-WLYXL,discount,8
7817-OMJNA,discount,5
8728-SKJLR,control,11
3137-NYQQI,discount,8
7706-DZNKK,control,9
0236-HFWSV,control,7
3900-AQPHZ,discount,8
5842-POCOP,control,1
2037-XJFUP,discount,2
8823-RLPWL,control,11
9505-SQFSW,control,8
7314-OXENN,discount,4
3758-CKOQL,discount,11
0322-CHQRU,control,2
5676-CFLYY,discount,8
7521-AFHAB,discount,10
0285-INHLN,control,12
4678-DVQEO,control,4
5125-CNDSP,control,8
0691-IFBQW,control,7
4992-LTJNE,discount,2
2202-OUTMO,discount,7
0810-BDHAW,discount,6
0229-LFJAF,discount,8
7131-ZQZNK,control,5
3442-ZHHCC,discount,12
5726-CVNYA,discount,11
9871-ELEYA,control,4
4257-GAESD,control,12
5173-WXOQV,discount,7
2040-OBMLJ,control,5
6286-ZHAOK,discount,6
3807-XHCJH,discount,10
3009-JWMPU,control,10
5671-RQRLP,control,7
1450-GALXR,control,8
8859-AXJZP,control,5
3174-AKMAS,discount,8
3138-BKYAV,discount,5
9926-PJHDQ,control,12
7382-DFJTU,discount,3
2798-NYLMZ,control,10
4289-DTDKW,discount,12
1820-TQVEV,discount,3
2239-JALAW,control,11
4853-RULSV,discount,6
8098-TDCBU,discount,7
3551-GAEGL,discount,1
4785-NKHCX,control,4
3196-NVXLZ,control,10
6275-YDUVO,discount,7
0036-IHMOT,discount,5
0115-TFERT,discount,12
4178-EGMON,discount,10
4220-TINQT,control,8
5318-YKDPV,discount,6
7975-TZMLR,discount,10
0295-QVKPB,discount,6
4335-BSMJS,control,8
2311-QYMUQ,discount,5
3643-AHCFP,control,10
9146-JRIOX,control,12
3104-OWCGK,discount,6
5337-IIWKZ,control,10
9101-BWFSS,control,3
9650-VBUOG,discount,7
3487-EARAT,control,9
2672-TGEFF,discount,7
9231-ZJYAM,control,6
4250-WAROZ,discount,2
8184-WMOFI,discount,7
6982-SSHFK,discount,4
6092-QZVPP,discount,8
4625-LAMOB,discount,12
0727-BMPLR,control,10
0392-BZIUW,discount,7
1038-ZAGBI,control,1
6549-NNDYT,discount,6
3027-ZTDHO,control,7
0422-OHQHQ,discount,8
6916-HIJSE,control,5
2316-ESMLS,control,9
9778-OGKQZ,control,5
7408-OFWXJ,discount,4
6007-TCTST,control,1
2252-NKNSI,discount,6
8713-IGZSO,discount,3
7905-TVXTA,control,5
7695-PKLCZ,discount,6
2382-BCKQJ,discount,1
8374-UULRV,control,7
2207-NHRJK,control,9
3224-DFQNQ,control,12
5275-PMFUT,discount,2
4795-UXVCJ,discount,10
9777-IQHWP,discount,5
0947-MUGVO,discount,6
9944-HKVVB,discount,3
4124-MMETB,control,1
3671-SHRSP,control,2
0979-MOZQI,control,7
2732-ISEZX,control,10
3313-QKNKB,discount,11
0323-XWWTN,discount,11
1937-OTUKY,discount,5
1573-LGXBA,control,2
1764-VUUMT,control,9
5073-WXOYN,control,3
4713-ZBURT,control,11
3050-GBUSH,discount,2
0207-MDKNV,control,6
7876-AEHIG,control,6
7945-HLKEA,discount,7
9342-VNIMQ,discount,5
9851-KIELU,discount,12
3523-BRGUW,discount,2
3908-BLSYF,discount,7
3199-NPKCN,control,6
5170-PTRKA,control,1
4661-NJEUX,control,10
2123-AGEEN,discount,12
1258-YMZNM,control,10
0048-LUMLS,discount,12
7549-MYGPK,discount,8
5898-IGSLP,control,8
3804-RVTGV,discount,1
6259-WJQLC,discount,7
9227-LUNBG,discount,5
7997-EASSD,control,12
0730-KOAVE,control,12
8975-SKGRX,discount,11
0678-RLHVP,control,12
4315-MURBD,discount,2
2267-FPIMA,discount,11
1051-GEJLJ,control,11
9734-YWGEX,discount,4
2719-BDAQO,control,5
5285-MVEHD,control,9
0379-DJQHR,control,7
0781-LKXBR,discount,10
5543-QDCRY,control,8
0297-RBCSG,control,2
4694-PHWFW,discount,2
0835-JKADZ,control,10
1907-UBQFC,control,12
7508-SMHXL,control,8
3865-YIOTT,control,4
5993-BQHEA,control,2
6024-RUGGH,control,8
6513-EECDB,control,10
3956-CJUST,control,2
4079-WWQQQ,discount,9
6103-BOCOU,discount,6
5149-TGWDZ,control,1
7471-WNSUF,control,12
8942-DBMHZ,discount,1
4301-VVZKA,control,12
9199-PWQVC,control,9
4824-GUCBY,discount,6
5393-HJZSM,control,2
7074-IEVOJ,discount,10
9625-QSTYE,control,5
0862-PRCBS,control,3
8812-ZRHFP,discount,12
5146-CBVOE,discount,4
0454-OKRCT,discount,3
5787-KXGIY,control,8
4750-ZRXIU,discount,7
4198-VFOEA,discount,2
6630-UJZMY,discount,3
5709-LVOEQ,control,6
6400-BWQKW,control,4
2692-AQCPF,control,7
0347-UBKUZ,discount,8
0835-DUUIQ,discount,6
0811-GSDTP,control,6
7567-ECMCM,discount,10
6115-ZTBFQ,discount,11
6353-BRMMA,discount,6
6680-WKXRZ,discount,5
6231-WFGFH,discount,2
9904-EHEVJ,discount,12
7028-DVOIQ,discount,1
6169-PPETC,control,8
4208-UFFGW,control,5
8584-KMVXD,discount,8
8467-WYNSR,discount,3
0851-DFJKB,control,6
5382-SOYZL,discount,8
9448-REEVD,control,4
3261-CQXOL,control,4
8388-FYNPZ,discount,8
4002-BQWPQ,discount,11
5651-YLPRD,discount,1
2826-DXLQO,discount,1
4378-BZYFP,control,1
9489-UTFKA,control,1
4849-PYRLQ,control,5
9117-SHLZX,control,12
9889-TMAHG,control,3
4541-RMRLG,control,12
7764-BDPEE,control,10
3429-IFLEM,discount,4
3158-MOERK,discount,9
7294-TMAOP,control,4
5002-GCQFH,control,4
0556-FJEGU,discount,12
8919-FYFQZ,discount,8
0604-THJFP,discount,7
2834-JRTUA,discount,12
5875-YPQFJ,discount,1
5879-SESNB,discount,7
6646-QVXLR,discount,9
6461-PPAXN,discount,8
3318-ISQFQ,discount,6
1106-HRLKZ,discount,7
2483-XSSMZ,control,7
8603-IJWDN,control,11
8165-ZJRNM,discount,9
9369-XFEHK,control,5
2604-XVDAM,control,6
3717-OFRTN,discount,5
9046-JBFWA,control,10
3280-NMUVX,discount,2
1206-EHBDD,discount,9
8361-LBRDI,control,1
4883-KCPZJ,discount,8
9108-EQPNQ,control,10
7277-KAMWT,discount,11
3842-IYKUE,discount,9
6641-XRPSU,control,1
1374-DMZUI,control,5
2545-LXYVJ,discount,8
3234-VKACU,control,8
8357-EQXFO,discount,10
1989-PRJHP,discount,1
8120-JDCAM,discount,10
8917-FAEMR,control,12
7047-YXDMZ,discount,12
2858-EIMXH,discount,5
9524-EGPJC,control,10
6993-OHLXR,discount,12
8818-XYFCQ,control,9
6419-ZTTLE,discount,4
0929-HYQEW,discount,2
6614-YOLAC,discount,5
7426-RHZGU,discount,12
4065-JJAVA,control,2
4695-VADHF,discount,6
3863-IUBJR,control,8
7649-SIJJF,control,11
9361-YNQWJ,discount,3
3748-FVMZZ,control,4
9391-TTOYH,control,9
1452-XRSJV,control,2
3422-WJOYD,discount,6
8242-SOQUO,discount,11
7460-ITWWP,discount,9
7147-AYBAA,discount,7
7868-TMWMZ,control,8
4822-RVYBB,control,2
6732-FZUGP,control,2
